Country Name,Country Code,Indicator Name,Indicator Code
Arab World,ARB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN
Arab World,ARB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS
Arab World,ARB,"Mammal species, threatened",EN.MAM.THRD.NO
Arab World,ARB,"Maximum 5-day Rainfall, 25-year Return Level (projected change in mm)",EN.CLC.PRCP.XD
Arab World,ARB,"Mean Drought Index (projected change, unitless)",EN.CLC.SPEI.XD
Arab World,ARB,Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC
Arab World,ARB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
Arab World,ARB,Net migration,SM.POP.NETM
Arab World,ARB,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC
Arab World,ARB,"Patent applications, residents",IP.PAT.RESD
Arab World,ARB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS
Arab World,ARB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS
Arab World,ARB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3
Arab World,ARB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST
Arab World,ARB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS
Arab World,ARB,Population density (people per sq. km of land area),EN.POP.DNST
Arab World,ARB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC
Arab World,ARB,Prevalence of overweight (% of adults),SH.STA.OWAD.ZS
Arab World,ARB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS
Arab World,ARB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS
Arab World,ARB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS
Arab World,ARB,Regulatory Quality: Estimate,RQ.EST
Arab World,ARB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS
Arab World,ARB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS
Arab World,ARB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Arab World,ARB,Rule of Law: Estimate,RL.EST
Arab World,ARB,"School enrollment, primary (% gross)",SE.PRM.ENRR
Arab World,ARB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS
Arab World,ARB,Scientific and technical journal articles,IP.JRN.ARTC.SC
Arab World,ARB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ
Arab World,ARB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS
Arab World,ARB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS
Arab World,ARB,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT
Arab World,ARB,Voice and Accountability: Estimate,VA.EST
Caribbean small states,CSS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS
Caribbean small states,CSS,Access to electricity (% of population),EG.ELC.ACCS.ZS
Caribbean small states,CSS,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
Caribbean small states,CSS,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
Caribbean small states,CSS,Agricultural land (% of land area),AG.LND.AGRI.ZS
Caribbean small states,CSS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
Caribbean small states,CSS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
Caribbean small states,CSS,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG
Caribbean small states,CSS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS
Caribbean small states,CSS,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
Caribbean small states,CSS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC
Caribbean small states,CSS,Control of Corruption: Estimate,CC.EST
Caribbean small states,CSS,Cooling Degree Days (projected change in number of degree Celsius),EN.CLC.CDDY.XD
Caribbean small states,CSS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS
Caribbean small states,CSS,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ
Caribbean small states,CSS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS
Caribbean small states,CSS,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS
Caribbean small states,CSS,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD
Caribbean small states,CSS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE
Caribbean small states,CSS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
Caribbean small states,CSS,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD
Caribbean small states,CSS,Forest area (% of land area),AG.LND.FRST.ZS
Caribbean small states,CSS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS
Caribbean small states,CSS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
Caribbean small states,CSS,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE
Caribbean small states,CSS,Gini index (World Bank estimate),SI.POV.GINI
Caribbean small states,CSS,Government Effectiveness: Estimate,GE.EST
Caribbean small states,CSS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
Caribbean small states,CSS,Heat Index 35 (projected change in days),EN.CLC.HEAT.XD
Caribbean small states,CSS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS
Caribbean small states,CSS,Income share held by lowest 20%,SI.DST.FRST.20
Caribbean small states,CSS,Individuals using the Internet (% of population),IT.NET.USER.ZS
Caribbean small states,CSS,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS
Caribbean small states,CSS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN
Caribbean small states,CSS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS
Caribbean small states,CSS,"Mammal species, threatened",EN.MAM.THRD.NO
Caribbean small states,CSS,"Maximum 5-day Rainfall, 25-year Return Level (projected change in mm)",EN.CLC.PRCP.XD
Caribbean small states,CSS,"Mean Drought Index (projected change, unitless)",EN.CLC.SPEI.XD
Caribbean small states,CSS,Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC
Caribbean small states,CSS,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
Caribbean small states,CSS,Net migration,SM.POP.NETM
Caribbean small states,CSS,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC
Caribbean small states,CSS,"Patent applications, residents",IP.PAT.RESD
Caribbean small states,CSS,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS
Caribbean small states,CSS,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS
Caribbean small states,CSS,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3
Caribbean small states,CSS,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST
Caribbean small states,CSS,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS
Caribbean small states,CSS,Population density (people per sq. km of land area),EN.POP.DNST
Caribbean small states,CSS,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC
Caribbean small states,CSS,Prevalence of overweight (% of adults),SH.STA.OWAD.ZS
Caribbean small states,CSS,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS
Caribbean small states,CSS,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS
Caribbean small states,CSS,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS
Caribbean small states,CSS,Regulatory Quality: Estimate,RQ.EST
Caribbean small states,CSS,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS
Caribbean small states,CSS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS
Caribbean small states,CSS,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Caribbean small states,CSS,Rule of Law: Estimate,RL.EST
Caribbean small states,CSS,"School enrollment, primary (% gross)",SE.PRM.ENRR
Caribbean small states,CSS,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS
Caribbean small states,CSS,Scientific and technical journal articles,IP.JRN.ARTC.SC
Caribbean small states,CSS,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ
Caribbean small states,CSS,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS
Caribbean small states,CSS,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS
Caribbean small states,CSS,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT
Caribbean small states,CSS,Voice and Accountability: Estimate,VA.EST
Central Europe and the Baltics,CEB,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS
Central Europe and the Baltics,CEB,Access to electricity (% of population),EG.ELC.ACCS.ZS
Central Europe and the Baltics,CEB,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
Central Europe and the Baltics,CEB,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
Central Europe and the Baltics,CEB,Agricultural land (% of land area),AG.LND.AGRI.ZS
Central Europe and the Baltics,CEB,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
Central Europe and the Baltics,CEB,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
Central Europe and the Baltics,CEB,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG
Central Europe and the Baltics,CEB,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS
Central Europe and the Baltics,CEB,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
Central Europe and the Baltics,CEB,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC
Central Europe and the Baltics,CEB,Control of Corruption: Estimate,CC.EST
Central Europe and the Baltics,CEB,Cooling Degree Days (projected change in number of degree Celsius),EN.CLC.CDDY.XD
Central Europe and the Baltics,CEB,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS
Central Europe and the Baltics,CEB,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ
Central Europe and the Baltics,CEB,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS
Central Europe and the Baltics,CEB,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS
Central Europe and the Baltics,CEB,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD
Central Europe and the Baltics,CEB,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE
Central Europe and the Baltics,CEB,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
Central Europe and the Baltics,CEB,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD
Central Europe and the Baltics,CEB,Forest area (% of land area),AG.LND.FRST.ZS
Central Europe and the Baltics,CEB,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS
Central Europe and the Baltics,CEB,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
Central Europe and the Baltics,CEB,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE
Central Europe and the Baltics,CEB,Gini index (World Bank estimate),SI.POV.GINI
Central Europe and the Baltics,CEB,Government Effectiveness: Estimate,GE.EST
Central Europe and the Baltics,CEB,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
Central Europe and the Baltics,CEB,Heat Index 35 (projected change in days),EN.CLC.HEAT.XD
Central Europe and the Baltics,CEB,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS
Central Europe and the Baltics,CEB,Income share held by lowest 20%,SI.DST.FRST.20
Central Europe and the Baltics,CEB,Individuals using the Internet (% of population),IT.NET.USER.ZS
Central Europe and the Baltics,CEB,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS
Central Europe and the Baltics,CEB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN
Central Europe and the Baltics,CEB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS
Central Europe and the Baltics,CEB,"Mammal species, threatened",EN.MAM.THRD.NO
Central Europe and the Baltics,CEB,"Maximum 5-day Rainfall, 25-year Return Level (projected change in mm)",EN.CLC.PRCP.XD
Central Europe and the Baltics,CEB,"Mean Drought Index (projected change, unitless)",EN.CLC.SPEI.XD
Central Europe and the Baltics,CEB,Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC
Central Europe and the Baltics,CEB,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
Central Europe and the Baltics,CEB,Net migration,SM.POP.NETM
Central Europe and the Baltics,CEB,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC
Central Europe and the Baltics,CEB,"Patent applications, residents",IP.PAT.RESD
Central Europe and the Baltics,CEB,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS
Central Europe and the Baltics,CEB,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS
Central Europe and the Baltics,CEB,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3
Central Europe and the Baltics,CEB,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST
Central Europe and the Baltics,CEB,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS
Central Europe and the Baltics,CEB,Population density (people per sq. km of land area),EN.POP.DNST
Central Europe and the Baltics,CEB,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC
Central Europe and the Baltics,CEB,Prevalence of overweight (% of adults),SH.STA.OWAD.ZS
Central Europe and the Baltics,CEB,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS
Central Europe and the Baltics,CEB,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS
Central Europe and the Baltics,CEB,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS
Central Europe and the Baltics,CEB,Regulatory Quality: Estimate,RQ.EST
Central Europe and the Baltics,CEB,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS
Central Europe and the Baltics,CEB,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS
Central Europe and the Baltics,CEB,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Central Europe and the Baltics,CEB,Rule of Law: Estimate,RL.EST
Central Europe and the Baltics,CEB,"School enrollment, primary (% gross)",SE.PRM.ENRR
Central Europe and the Baltics,CEB,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS
Central Europe and the Baltics,CEB,Scientific and technical journal articles,IP.JRN.ARTC.SC
Central Europe and the Baltics,CEB,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ
Central Europe and the Baltics,CEB,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS
Central Europe and the Baltics,CEB,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS
Central Europe and the Baltics,CEB,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT
Central Europe and the Baltics,CEB,Voice and Accountability: Estimate,VA.EST
Early-demographic dividend,EAR,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS
Early-demographic dividend,EAR,Access to electricity (% of population),EG.ELC.ACCS.ZS
Early-demographic dividend,EAR,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
Early-demographic dividend,EAR,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
Early-demographic dividend,EAR,Agricultural land (% of land area),AG.LND.AGRI.ZS
Early-demographic dividend,EAR,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
Early-demographic dividend,EAR,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
Early-demographic dividend,EAR,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG
Early-demographic dividend,EAR,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS
Early-demographic dividend,EAR,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
Early-demographic dividend,EAR,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC
Early-demographic dividend,EAR,Control of Corruption: Estimate,CC.EST
Early-demographic dividend,EAR,Cooling Degree Days (projected change in number of degree Celsius),EN.CLC.CDDY.XD
Early-demographic dividend,EAR,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS
Early-demographic dividend,EAR,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ
Early-demographic dividend,EAR,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS
Early-demographic dividend,EAR,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS
Early-demographic dividend,EAR,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD
Early-demographic dividend,EAR,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE
Early-demographic dividend,EAR,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
Early-demographic dividend,EAR,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD
Early-demographic dividend,EAR,Forest area (% of land area),AG.LND.FRST.ZS
Early-demographic dividend,EAR,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS
Early-demographic dividend,EAR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
Early-demographic dividend,EAR,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE
Early-demographic dividend,EAR,Gini index (World Bank estimate),SI.POV.GINI
Early-demographic dividend,EAR,Government Effectiveness: Estimate,GE.EST
Early-demographic dividend,EAR,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
Early-demographic dividend,EAR,Heat Index 35 (projected change in days),EN.CLC.HEAT.XD
Early-demographic dividend,EAR,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS
Early-demographic dividend,EAR,Income share held by lowest 20%,SI.DST.FRST.20
Early-demographic dividend,EAR,Individuals using the Internet (% of population),IT.NET.USER.ZS
Early-demographic dividend,EAR,"Labor force participation rate, total (% of total population ages 15-64) (modeled ILO estimate)",SL.TLF.ACTI.ZS
Early-demographic dividend,EAR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN
Early-demographic dividend,EAR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS
Early-demographic dividend,EAR,"Mammal species, threatened",EN.MAM.THRD.NO
Early-demographic dividend,EAR,"Maximum 5-day Rainfall, 25-year Return Level (projected change in mm)",EN.CLC.PRCP.XD
Early-demographic dividend,EAR,"Mean Drought Index (projected change, unitless)",EN.CLC.SPEI.XD
Early-demographic dividend,EAR,Methane emissions (metric tons of CO2 equivalent per capita),EN.ATM.METH.PC
Early-demographic dividend,EAR,"Mortality rate, under-5 (per 1,000 live births)",SH.DYN.MORT
Early-demographic dividend,EAR,Net migration,SM.POP.NETM
Early-demographic dividend,EAR,Nitrous oxide emissions (metric tons of CO2 equivalent per capita),EN.ATM.NOXE.PC
Early-demographic dividend,EAR,"Patent applications, residents",IP.PAT.RESD
Early-demographic dividend,EAR,People using safely managed drinking water services (% of population),SH.H2O.SMDW.ZS
Early-demographic dividend,EAR,People using safely managed sanitation services (% of population),SH.STA.SMSS.ZS
Early-demographic dividend,EAR,"PM2.5 air pollution, mean annual exposure (micrograms per cubic meter)",EN.ATM.PM25.MC.M3
Early-demographic dividend,EAR,Political Stability and Absence of Violence/Terrorism: Estimate,PV.EST
Early-demographic dividend,EAR,Population ages 65 and above (% of total population),SP.POP.65UP.TO.ZS
Early-demographic dividend,EAR,Population density (people per sq. km of land area),EN.POP.DNST
Early-demographic dividend,EAR,Poverty headcount ratio at national poverty lines (% of population),SI.POV.NAHC
Early-demographic dividend,EAR,Prevalence of overweight (% of adults),SH.STA.OWAD.ZS
Early-demographic dividend,EAR,Prevalence of undernourishment (% of population),SN.ITK.DEFC.ZS
Early-demographic dividend,EAR,Proportion of seats held by women in national parliaments (%),SG.GEN.PARL.ZS
Early-demographic dividend,EAR,Ratio of female to male labor force participation rate (%) (modeled ILO estimate),SL.TLF.CACT.FM.ZS
Early-demographic dividend,EAR,Regulatory Quality: Estimate,RQ.EST
Early-demographic dividend,EAR,Renewable electricity output (% of total electricity output),EG.ELC.RNEW.ZS
Early-demographic dividend,EAR,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS
Early-demographic dividend,EAR,Research and development expenditure (% of GDP),GB.XPD.RSDV.GD.ZS
Early-demographic dividend,EAR,Rule of Law: Estimate,RL.EST
Early-demographic dividend,EAR,"School enrollment, primary (% gross)",SE.PRM.ENRR
Early-demographic dividend,EAR,"School enrollment, primary and secondary (gross), gender parity index (GPI)",SE.ENR.PRSC.FM.ZS
Early-demographic dividend,EAR,Scientific and technical journal articles,IP.JRN.ARTC.SC
Early-demographic dividend,EAR,Strength of legal rights index (0=weak to 12=strong),IC.LGL.CRED.XQ
Early-demographic dividend,EAR,Terrestrial and marine protected areas (% of total territorial area),ER.PTD.TOTL.ZS
Early-demographic dividend,EAR,"Unemployment, total (% of total labor force) (modeled ILO estimate)",SL.UEM.TOTL.ZS
Early-demographic dividend,EAR,Unmet need for contraception (% of married women ages 15-49),SP.UWT.TFRT
Early-demographic dividend,EAR,Voice and Accountability: Estimate,VA.EST
East Asia & Pacific,EAS,Access to clean fuels and technologies for cooking (% of population),EG.CFT.ACCS.ZS
East Asia & Pacific,EAS,Access to electricity (% of population),EG.ELC.ACCS.ZS
East Asia & Pacific,EAS,Adjusted savings: natural resources depletion (% of GNI),NY.ADJ.DRES.GN.ZS
East Asia & Pacific,EAS,Adjusted savings: net forest depletion (% of GNI),NY.ADJ.DFOR.GN.ZS
East Asia & Pacific,EAS,Agricultural land (% of land area),AG.LND.AGRI.ZS
East Asia & Pacific,EAS,"Agriculture, forestry, and fishing, value added (% of GDP)",NV.AGR.TOTL.ZS
East Asia & Pacific,EAS,"Annual freshwater withdrawals, total (% of internal resources)",ER.H2O.FWTL.ZS
East Asia & Pacific,EAS,"Annualized average growth rate in per capita real survey mean consumption or income, total population (%)",SI.SPR.PCAP.ZG
East Asia & Pacific,EAS,"Cause of death, by communicable diseases and maternal, prenatal and nutrition conditions (% of total)",SH.DTH.COMM.ZS
East Asia & Pacific,EAS,"Children in employment, total (% of children ages 7-14)",SL.TLF.0714.ZS
East Asia & Pacific,EAS,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC
East Asia & Pacific,EAS,Control of Corruption: Estimate,CC.EST
East Asia & Pacific,EAS,Cooling Degree Days (projected change in number of degree Celsius),EN.CLC.CDDY.XD
East Asia & Pacific,EAS,"Droughts, floods, extreme temperatures (% of population, average 1990-2009)",EN.CLC.MDAT.ZS
East Asia & Pacific,EAS,Ease of doing business index (1=most business-friendly regulations),IC.BUS.EASE.XQ
East Asia & Pacific,EAS,Electricity production from coal sources (% of total),EG.ELC.COAL.ZS
East Asia & Pacific,EAS,"Energy imports, net (% of energy use)",EG.IMP.CONS.ZS
East Asia & Pacific,EAS,Energy intensity level of primary energy (MJ/$2011 PPP GDP),EG.EGY.PRIM.PP.KD
East Asia & Pacific,EAS,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE
East Asia & Pacific,EAS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN
East Asia & Pacific,EAS,Food production index (2004-2006 = 100),AG.PRD.FOOD.XD
East Asia & Pacific,EAS,Forest area (% of land area),AG.LND.FRST.ZS
East Asia & Pacific,EAS,Fossil fuel energy consumption (% of total),EG.USE.COMM.FO.ZS
East Asia & Pacific,EAS,GDP growth (annual %),NY.GDP.MKTP.KD.ZG
East Asia & Pacific,EAS,GHG net emissions/removals by LUCF (Mt of CO2 equivalent),EN.CLC.GHGR.MT.CE
East Asia & Pacific,EAS,Gini index (World Bank estimate),SI.POV.GINI
East Asia & Pacific,EAS,Government Effectiveness: Estimate,GE.EST
East Asia & Pacific,EAS,"Government expenditure on education, total (% of government expenditure)",SE.XPD.TOTL.GB.ZS
East Asia & Pacific,EAS,Heat Index 35 (projected change in days),EN.CLC.HEAT.XD
East Asia & Pacific,EAS,"Hospital beds (per 1,000 people)",SH.MED.BEDS.ZS
East Asia & Pacific,EAS,Income share held by lowest 20%,SI.DST.FRST.20
